"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"ItemSlips","ContractsOpenPrice","POST","/api/v2/ItemSlips/ContractsOpenPrice","Int32","TResult`1"
"ItemSlips","DeleteItemSlipLinkedWaybill","DELETE","/api/v2/ItemSlips/DeleteItemSlipLinkedWaybill","ItemSlipsParam","TResult`1"
"ItemSlips","NewEWaybillNumber","POST","/api/v2/ItemSlips/NewEWaybillNumber","ItemSlipsCodeParam","TResult`1"
"ItemSlips","OrderRevision","POST","/api/v2/ItemSlips/OrderRevision","OrderRevisionParam","TResult`1"
"ItemSlips","CopyItemSlip","POST","/api/v2/ItemSlips/CopyItemSlip","CopyItemSlipParam","TResult`1"
"ItemSlips","NewEArchiveNumber","POST","/api/v2/ItemSlips/NewEArchiveNumber","String","TResult`1"
"ItemSlips","TopluSiparisToIrsFat","POST","/api/v2/ItemSlips/TopluSiparisToIrsFat","OrderBatchInvoicingPrm","TResult`1"
"ItemSlips","ReadAndSave","GET","/api/v2/ItemSlips/ReadAndSave","ItemSlipsReadAndSaveParam","TResult`1"
"Items","Describe","POST","/api/v2/Items/Describe","","String"
"Items","GetInternal","GET","/api/v2/Items","SelectFilter","TSelectData`1"
"Items","GetInternalById","GET","/api/v2/Items/GetInternalById","String","TResult`1"
"Items","PostInternal","POST","/api/v2/Items","Items","TResult`1"
"Items","PutInternal","PUT","/api/v2/Items","String, Items","TResult`1"
"Items","DeleteInternalById","DELETE","/api/v2/Items","String","TResult`1"
"Items","CustomStockMainInfo","POST","/api/v2/Items/CustomStockMainInfo","SelectFilter","TSelectData`1"
"ItemTransactions","GetInternal","GET","/api/v2/ItemTransactions","SelectFilter","TSelectData`1"
"ItemTransactions","GetInternalById","GET","/api/v2/ItemTransactions/GetInternalById","Int32","TResult`1"
"ItemTransactions","PostInternal","POST","/api/v2/ItemTransactions","ItemTransactions","TResult`1"
"ItemTransactions","PutInternal","PUT","/api/v2/ItemTransactions","Int32, ItemTransactions","TResult`1"
